Company Name,Location,# Employees,Company Url
Zymergen,United States,533,https://www.linkedin.com/company/zymergen
Zymergen,San Francisco Bay Area,421,https://www.linkedin.com/company/zymergen
Zymergen,Greater Boston Area,35,https://www.linkedin.com/company/zymergen
Zymergen,Greater New York City Area,16,https://www.linkedin.com/company/zymergen
Zymergen,Greater Seattle Area,8,https://www.linkedin.com/company/zymergen
Zymergen,"Sacramento, California Area",5,https://www.linkedin.com/company/zymergen
Zymergen,Japan,4,https://www.linkedin.com/company/zymergen
Zymergen,Taiwan,4,https://www.linkedin.com/company/zymergen
Zymergen,Greater Denver Area,4,https://www.linkedin.com/company/zymergen
Zymergen,"Phoenix, Arizona Area",3,https://www.linkedin.com/company/zymergen
Zymergen,Netherlands,2,https://www.linkedin.com/company/zymergen
Zymergen,"Taipei City, Taiwan",2,https://www.linkedin.com/company/zymergen
Zymergen,Greater Chicago Area,2,https://www.linkedin.com/company/zymergen
Zymergen,"Orange County, California Area",2,https://www.linkedin.com/company/zymergen
Zymergen,Greater San Diego Area,2,https://www.linkedin.com/company/zymergen
Nurix Therapeutics,United States,225,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,San Francisco Bay Area,178,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater Pittsburgh Area,6,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater San Diego Area,5,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"Houston, Texas Area",4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater Boston Area,4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater New York City Area,4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater Los Angeles Area,2,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater Atlanta Area,2,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater Philadelphia Area,2,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Greater Seattle Area,2,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Canada,1,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"Toronto, Canada Area",1,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Indonesia,1,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"West Nusa Tenggara Province, Indonesia",1,https://www.linkedin.com/company/nurixtx
Twist Bioscience,United States,580,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,San Francisco Bay Area,411,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Greater San Diego Area,44,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Israel,35,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Greater Boston Area,27,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,United Kingdom,23,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Germany,19,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,China,15,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Greater Los Angeles Area,13,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Netherlands,10,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,Singapore,10,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"Portland, Oregon Area",9,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,France,7,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"Sacramento, California Area",6,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"Shanghai City, China",5,https://www.linkedin.com/company/twist-bioscience
PacBio,United States,649,https://www.linkedin.com/company/pacbio
PacBio,San Francisco Bay Area,388,https://www.linkedin.com/company/pacbio
PacBio,Greater San Diego Area,142,https://www.linkedin.com/company/pacbio
PacBio,United Kingdom,19,https://www.linkedin.com/company/pacbio
PacBio,Germany,10,https://www.linkedin.com/company/pacbio
PacBio,Greater New York City Area,10,https://www.linkedin.com/company/pacbio
PacBio,"Baltimore, Maryland Area",9,https://www.linkedin.com/company/pacbio
PacBio,Washington D.C. Metro Area,9,https://www.linkedin.com/company/pacbio
PacBio,Canada,8,https://www.linkedin.com/company/pacbio
PacBio,China,8,https://www.linkedin.com/company/pacbio
PacBio,Greater Los Angeles Area,8,https://www.linkedin.com/company/pacbio
PacBio,Greater Boston Area,8,https://www.linkedin.com/company/pacbio
PacBio,Greater Seattle Area,6,https://www.linkedin.com/company/pacbio
PacBio,"Shanghai City, China",5,https://www.linkedin.com/company/pacbio
PacBio,Greater Denver Area,5,https://www.linkedin.com/company/pacbio
"Ginkgo Bioworks, Inc.",United States,672,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Greater Boston Area,508,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",San Francisco Bay Area,31,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Greater New York City Area,25,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Netherlands,22,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Washington D.C. Metro Area,18,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.","Utrecht Area, Netherlands",11,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Greater Los Angeles Area,8,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Greater Seattle Area,5,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.","Providence, Rhode Island Area",4,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Greater Philadelphia Area,4,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Canada,3,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.","Nijmegen Area, Netherlands",3,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.","The Hague Area, Netherlands",3,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.","Rotterdam Area, Netherlands",3,https://www.linkedin.com/company/ginkgo-bioworks
SomaLogic,United States,337,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Denver Area,235,https://www.linkedin.com/company/somalogic
SomaLogic,"Fort Collins, Colorado Area",17,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Philadelphia Area,7,https://www.linkedin.com/company/somalogic
SomaLogic,Somalia,6,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Boston Area,6,https://www.linkedin.com/company/somalogic
SomaLogic,United Kingdom,5,https://www.linkedin.com/company/somalogic
SomaLogic,Greater San Diego Area,5,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Los Angeles Area,4,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Minneapolis-St. Paul Area,4,https://www.linkedin.com/company/somalogic
SomaLogic,Greater New York City Area,4,https://www.linkedin.com/company/somalogic
SomaLogic,San Francisco Bay Area,4,https://www.linkedin.com/company/somalogic
SomaLogic,"Colorado Springs, Colorado Area",3,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Detroit Area,2,https://www.linkedin.com/company/somalogic
SomaLogic,Greater Atlanta Area,2,https://www.linkedin.com/company/somalogic
Signify Health,United States,"2,263",https://www.linkedin.com/company/signifyhealth
Signify Health,Dallas/Fort Worth Area,657,https://www.linkedin.com/company/signifyhealth
Signify Health,Greater New York City Area,278,https://www.linkedin.com/company/signifyhealth
Signify Health,Greater Chicago Area,57,https://www.linkedin.com/company/signifyhealth
Signify Health,Greater Atlanta Area,56,https://www.linkedin.com/company/signifyhealth
Signify Health,"Rapid City, South Dakota Area",52,https://www.linkedin.com/company/signifyhealth
Signify Health,"Houston, Texas Area",43,https://www.linkedin.com/company/signifyhealth
Signify Health,Greater Boston Area,38,https://www.linkedin.com/company/signifyhealth
Signify Health,Miami/Fort Lauderdale Area,35,https://www.linkedin.com/company/signifyhealth
Signify Health,"Richmond, Virginia Area",34,https://www.linkedin.com/company/signifyhealth
Signify Health,"Austin, Texas Area",31,https://www.linkedin.com/company/signifyhealth
Signify Health,Greater Philadelphia Area,30,https://www.linkedin.com/company/signifyhealth
Signify Health,Washington D.C. Metro Area,29,https://www.linkedin.com/company/signifyhealth
Signify Health,"San Antonio, Texas Area",28,https://www.linkedin.com/company/signifyhealth
Signify Health,"Cleveland/Akron, Ohio Area",26,https://www.linkedin.com/company/signifyhealth
"Butterfly Network, Inc.",United States,462,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Greater New York City Area,163,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Greater Boston Area,99,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",San Francisco Bay Area,37,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",United Kingdom,12,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Greater Seattle Area,12,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Taiwan,11,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",India,10,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Greater San Diego Area,8,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Greater Philadelphia Area,8,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.","Kansas City, Missouri Area",6,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Australia,5,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.","Hsinchu County/City, Taiwan",5,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Greater Chicago Area,5,https://www.linkedin.com/company/butterflynetwork
"Butterfly Network, Inc.",Dallas/Fort Worth Area,5,https://www.linkedin.com/company/butterflynetwork
Cellectis,France,160,https://www.linkedin.com/company/cellectis
Cellectis,"Paris Area, France",137,https://www.linkedin.com/company/cellectis
Cellectis,United States,119,https://www.linkedin.com/company/cellectis
