Company Name,School Name,# Hired Employees,Company Url
Twist Bioscience,San Francisco State University,33,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"University of California, Davis",29,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,UC San Diego,27,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"University of California, Santa Cruz",27,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"University of California, Berkeley",22,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,"University of California, Merced",14,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,San Jose State University,13,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,UC Santa Barbara,13,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,City College of San Francisco,13,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,UC Irvine,11,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,California Polytechnic State University-San Luis Obispo,10,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,University of Southern California,9,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,University of Michigan,9,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,San Diego State University,8,https://www.linkedin.com/company/twist-bioscience
Twist Bioscience,University of San Francisco,8,https://www.linkedin.com/company/twist-bioscience
Nurix Therapeutics,"University of California, Berkeley",23,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,San Francisco State University,14,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,UC San Diego,12,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"University of California, Davis",10,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"University of California, Santa Cruz",8,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Stanford University,7,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"University of California, San Francisco",7,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,UC Irvine,6,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,"University of California, Los Angeles",6,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Skyline College,6,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,San Jose State University,4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,Colorado State University,4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,University of Michigan,4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,The University of Texas at Austin,4,https://www.linkedin.com/company/nurixtx
Nurix Therapeutics,College of San Mateo,4,https://www.linkedin.com/company/nurixtx
"Iovance Biotherapeutics, Inc.",University of South Florida,14,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.","University of California, Davis",12,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.","University of California, Berkeley",8,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",San Francisco State University,7,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",Temple University,7,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",University of Florida,6,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",Rutgers University,6,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",Villanova University,6,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",California State University - East Bay,5,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",San Jose State University,5,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.","University of California, Berkeley, Haas School of Business",5,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.","University of California, Los Angeles",5,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",University of Southern California,5,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",Drexel University,5,https://www.linkedin.com/company/iovance
"Iovance Biotherapeutics, Inc.",The Wharton School,5,https://www.linkedin.com/company/iovance
PacBio,UC San Diego,45,https://www.linkedin.com/company/pacbio
PacBio,"University of California, Berkeley",35,https://www.linkedin.com/company/pacbio
PacBio,San Jose State University,33,https://www.linkedin.com/company/pacbio
PacBio,"University of California, Davis",32,https://www.linkedin.com/company/pacbio
PacBio,San Diego State University,22,https://www.linkedin.com/company/pacbio
PacBio,Stanford University,21,https://www.linkedin.com/company/pacbio
PacBio,"University of California, Los Angeles",18,https://www.linkedin.com/company/pacbio
PacBio,"University of California, Santa Cruz",18,https://www.linkedin.com/company/pacbio
PacBio,Cornell University,16,https://www.linkedin.com/company/pacbio
PacBio,University of Illinois Urbana-Champaign,13,https://www.linkedin.com/company/pacbio
PacBio,Caltech,12,https://www.linkedin.com/company/pacbio
PacBio,UC Irvine,12,https://www.linkedin.com/company/pacbio
PacBio,The University of Texas at Austin,11,https://www.linkedin.com/company/pacbio
PacBio,University of Southern California,9,https://www.linkedin.com/company/pacbio
PacBio,Massachusetts Institute of Technology,8,https://www.linkedin.com/company/pacbio
Zymergen,"University of California, Berkeley",46,https://www.linkedin.com/company/zymergen
Zymergen,"University of California, Davis",46,https://www.linkedin.com/company/zymergen
Zymergen,Stanford University,21,https://www.linkedin.com/company/zymergen
Zymergen,"University of California, Santa Cruz",15,https://www.linkedin.com/company/zymergen
Zymergen,California Polytechnic State University-San Luis Obispo,14,https://www.linkedin.com/company/zymergen
Zymergen,San Francisco State University,13,https://www.linkedin.com/company/zymergen
Zymergen,Massachusetts Institute of Technology,13,https://www.linkedin.com/company/zymergen
Zymergen,Cornell University,11,https://www.linkedin.com/company/zymergen
Zymergen,California State University - East Bay,10,https://www.linkedin.com/company/zymergen
Zymergen,UC San Diego,10,https://www.linkedin.com/company/zymergen
Zymergen,"University of California, Los Angeles",9,https://www.linkedin.com/company/zymergen
Zymergen,UC Santa Barbara,9,https://www.linkedin.com/company/zymergen
Zymergen,Georgia Institute of Technology,9,https://www.linkedin.com/company/zymergen
Zymergen,Boston University,8,https://www.linkedin.com/company/zymergen
Zymergen,Stanford University Graduate School of Business,7,https://www.linkedin.com/company/zymergen
Cellectis,Pierre and Marie Curie University,20,https://www.linkedin.com/company/cellectis
Cellectis,Paris-Sud University (Paris XI),16,https://www.linkedin.com/company/cellectis
Cellectis,North Carolina State University,15,https://www.linkedin.com/company/cellectis
Cellectis,Université de Paris,14,https://www.linkedin.com/company/cellectis
Cellectis,École Polytechnique,5,https://www.linkedin.com/company/cellectis
Cellectis,Conservatoire National des Arts et Métiers,4,https://www.linkedin.com/company/cellectis
Cellectis,École Pratique des Hautes Études,4,https://www.linkedin.com/company/cellectis
Cellectis,Aix-Marseille University,4,https://www.linkedin.com/company/cellectis
Cellectis,University of Montpellier,4,https://www.linkedin.com/company/cellectis
Cellectis,Université de Tours,4,https://www.linkedin.com/company/cellectis
Cellectis,University of Cambridge,4,https://www.linkedin.com/company/cellectis
Cellectis,University of North Carolina at Chapel Hill,4,https://www.linkedin.com/company/cellectis
Cellectis,Stony Brook University,4,https://www.linkedin.com/company/cellectis
Cellectis,Université Grenoble Alpes,4,https://www.linkedin.com/company/cellectis
Cellectis,KEDGE Business School,3,https://www.linkedin.com/company/cellectis
UiPath,Academia de Studii Economice din București,192,https://www.linkedin.com/company/uipath
UiPath,University POLITEHNICA of Bucharest,187,https://www.linkedin.com/company/uipath
UiPath,University of Bucharest,182,https://www.linkedin.com/company/uipath
UiPath,Harvard Business School,38,https://www.linkedin.com/company/uipath
UiPath,Universitatea „Alexandru Ioan Cuza” din Iași,33,https://www.linkedin.com/company/uipath
UiPath,University of Washington,31,https://www.linkedin.com/company/uipath
UiPath,Scoala Nationala de Studii Politice si Administrative (SNSPA),31,https://www.linkedin.com/company/uipath
UiPath,Universitatea „Babeș-Bolyai” din Cluj-Napoca,30,https://www.linkedin.com/company/uipath
UiPath,Visvesvaraya Technological University,26,https://www.linkedin.com/company/uipath
UiPath,The University of Texas at Austin,24,https://www.linkedin.com/company/uipath
UiPath,Eindhoven University of Technology,22,https://www.linkedin.com/company/uipath
UiPath,Anna University,21,https://www.linkedin.com/company/uipath
UiPath,The Wharton School,21,https://www.linkedin.com/company/uipath
UiPath,Harvard Business School Online,12,https://www.linkedin.com/company/uipath
UiPath,MIT Sloan School of Management,12,https://www.linkedin.com/company/uipath
"Ionis Pharmaceuticals, Inc.",UC San Diego,62,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",San Diego State University,33,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",California State University San Marcos,20,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",UC Irvine,19,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",UC Santa Barbara,18,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.","University of California, Los Angeles",14,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.","University of California, Berkeley",10,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",University of San Diego,9,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",The University of Texas at Austin,9,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",Palomar College,9,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",University of Southern California,7,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",Purdue University,7,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",University of Michigan,7,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",University of Minnesota,7,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ionis Pharmaceuticals, Inc.",Stanford University,6,https://www.linkedin.com/company/ionis-pharmaceuticals
"Ginkgo Bioworks, Inc.",Massachusetts Institute of Technology,51,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",University of Massachusetts Amherst,29,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Boston University,26,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Northeastern University,24,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.","University of California, Berkeley",23,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Harvard University,21,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",University of Wisconsin-Madison,18,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",University of Pennsylvania,14,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Northwestern University,13,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Cornell University,13,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",University of Illinois Urbana-Champaign,12,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Harvard Business School,12,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Tufts University,11,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",Duke University,10,https://www.linkedin.com/company/ginkgo-bioworks
"Ginkgo Bioworks, Inc.",The University of Texas at Austin,10,https://www.linkedin.com/company/ginkgo-bioworks
Pfizer,Technological University Dublin,771,https://www.linkedin.com/company/pfizer
Pfizer,KU Leuven,591,https://www.linkedin.com/company/pfizer
Pfizer,Rutgers University,547,https://www.linkedin.com/company/pfizer
Pfizer,Penn State University,512,https://www.linkedin.com/company/pfizer
Pfizer,North Carolina State University,414,https://www.linkedin.com/company/pfizer
Pfizer,University of Michigan,389,https://www.linkedin.com/company/pfizer
Pfizer,Cornell University,293,https://www.linkedin.com/company/pfizer
Pfizer,New York University,289,https://www.linkedin.com/company/pfizer
Pfizer,Columbia University in the City of New York,287,https://www.linkedin.com/company/pfizer
Pfizer,FGV - Fundação Getulio Vargas,245,https://www.linkedin.com/company/pfizer
Pfizer,University of Mumbai,239,https://www.linkedin.com/company/pfizer
Pfizer,Cairo University,234,https://www.linkedin.com/company/pfizer
Pfizer,Harvard University,214,https://www.linkedin.com/company/pfizer
Pfizer,Aristotle University of Thessaloniki (AUTH),200,https://www.linkedin.com/company/pfizer
Pfizer,University of Macedonia,150,https://www.linkedin.com/company/pfizer
Teladoc Health,Universitat de Barcelona,100,https://www.linkedin.com/company/teladoc-health
Teladoc Health,Universidad Nacional del Sur,77,https://www.linkedin.com/company/teladoc-health
Teladoc Health,Universitat Autònoma de Barcelona,74,https://www.linkedin.com/company/teladoc-health
Teladoc Health,UC Santa Barbara,66,https://www.linkedin.com/company/teladoc-health
Teladoc Health,Arizona State University,48,https://www.linkedin.com/company/teladoc-health
Teladoc Health,Stanford University,39,https://www.linkedin.com/company/teladoc-health
Teladoc Health,University of Phoenix,33,https://www.linkedin.com/company/teladoc-health
Teladoc Health,University of Illinois Chicago,33,https://www.linkedin.com/company/teladoc-health
Teladoc Health,University of Illinois Urbana-Champaign,33,https://www.linkedin.com/company/teladoc-health
Teladoc Health,University of Michigan,32,https://www.linkedin.com/company/teladoc-health
Teladoc Health,"University of California, Berkeley",28,https://www.linkedin.com/company/teladoc-health
Teladoc Health,University of North Texas,28,https://www.linkedin.com/company/teladoc-health
Teladoc Health,"University of California, Los Angeles",25,https://www.linkedin.com/company/teladoc-health
Teladoc Health,University of Arizona,24,https://www.linkedin.com/company/teladoc-health
Teladoc Health,Belarusian State University of Informatics and Radioelectronics,14,https://www.linkedin.com/company/teladoc-health
Palantir Technologies,Stanford University,127,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,University of Oxford,95,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,University of Cambridge,79,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Imperial College London,76,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,"University of California, Berkeley",74,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Massachusetts Institute of Technology,74,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Cornell University,72,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Carnegie Mellon University,72,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Harvard University,67,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,University of Pennsylvania,60,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Columbia University in the City of New York,47,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Georgia Institute of Technology,46,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Princeton University,45,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,Georgetown University,43,https://www.linkedin.com/company/palantir-technologies
Palantir Technologies,University of Maryland,39,https://www.linkedin.com/company/palantir-technologies
Repare Therapeutics,McGill University,21,https://www.linkedin.com/company/repare-therapeutics
Repare Therapeutics,Université de Montréal,16,https://www.linkedin.com/company/repare-therapeutics
Repare Therapeutics,Concordia University,10,https://www.linkedin.com/company/repare-therapeutics
Repare Therapeutics,Université de Sherbrooke,6,https://www.linkedin.com/company/repare-therapeutics
